arc_id,from_node,to_node,mode,dist_km,time_h,cost_eur_per_t,co2_kg_per_t
Q_RTM_PORT_DUI_RAIL,RTM_PORT,DUI_RAIL,rail,213.6,3.17,106.8,6.41
Q_DUI_RAIL_RTM_PORT,DUI_RAIL,RTM_PORT,rail,213.6,3.17,106.8,6.41
Q_DUI_RAIL_IST_PORT,DUI_RAIL,IST_PORT,rail,2295.5,29.19,1147.7,68.86
Q_IST_PORT_DUI_RAIL,IST_PORT,DUI_RAIL,rail,2295.5,29.19,1147.7,68.86
Q_RTM_PORT_IST_PORT,RTM_PORT,IST_PORT,rail,2507.3,31.84,1253.6,75.22
Q_IST_PORT_RTM_PORT,IST_PORT,RTM_PORT,rail,2507.3,31.84,1253.6,75.22
Q_SHA_PORT_DUI_RAIL,SHA_PORT,DUI_RAIL,rail,9882.5,124.03,4941.2,296.47
Q_DUI_RAIL_SHA_PORT,DUI_RAIL,SHA_PORT,rail,9882.5,124.03,4941.2,296.47
Q_SHA_PORT_IST_PORT,SHA_PORT,IST_PORT,rail,8943.3,112.29,4471.6,268.3
Q_IST_PORT_SHA_PORT,IST_PORT,SHA_PORT,rail,8943.3,112.29,4471.6,268.3
Q_SZX_AIR_SHA_PORT,SZX_AIR,SHA_PORT,rail,1384.0,17.8,692.0,41.52
Q_SHA_PORT_SZX_AIR,SHA_PORT,SZX_AIR,rail,1384.0,17.8,692.0,41.52
Q_BKK_AIR_SIN_AIR,BKK_AIR,SIN_AIR,rail,1586.1,20.33,793.1,47.58
Q_SIN_AIR_BKK_AIR,SIN_AIR,BKK_AIR,rail,1586.1,20.33,793.1,47.58
Q_BOM_AIR_DEL_AIR,BOM_AIR,DEL_AIR,rail,1273.5,16.42,636.7,38.2
Q_DEL_AIR_BOM_AIR,DEL_AIR,BOM_AIR,rail,1273.5,16.42,636.7,38.2
Q_DEL_AIR_DXB_AIR,DEL_AIR,DXB_AIR,rail,2445.0,31.06,1222.5,73.35
Q_DXB_AIR_DEL_AIR,DXB_AIR,DEL_AIR,rail,2445.0,31.06,1222.5,73.35
Q_CHI_AIR_NYC_PORT,CHI_AIR,NYC_PORT,rail,1304.7,16.81,652.4,39.14
Q_NYC_PORT_CHI_AIR,NYC_PORT,CHI_AIR,rail,1304.7,16.81,652.4,39.14
