arc_id,from_node,to_node,mode,dist_km,time_h,cost_eur_per_t,co2_kg_per_t
R_NYC_W_NYC_PORT,NYC_W,NYC_PORT,road,5.4,0.1,4.8,0.38
R_NYC_PORT_NYC_W,NYC_PORT,NYC_W,road,5.4,0.1,4.8,0.38
R_CHI_W_CHI_AIR,CHI_W,CHI_AIR,road,28.4,0.52,25.5,1.99
R_CHI_AIR_CHI_W,CHI_AIR,CHI_W,road,28.4,0.52,25.5,1.99
R_LAX_W_LAX_PORT,LAX_W,LAX_PORT,road,39.4,0.72,35.5,2.76
R_LAX_PORT_LAX_W,LAX_PORT,LAX_W,road,39.4,0.72,35.5,2.76
R_SAO_W_SAO_AIR,SAO_W,SAO_AIR,road,23.3,0.42,21.0,1.63
R_SAO_AIR_SAO_W,SAO_AIR,SAO_W,road,23.3,0.42,21.0,1.63
R_PAN_W_PAN_PORT,PAN_W,PAN_PORT,road,65.8,1.2,59.2,4.6
R_PAN_PORT_PAN_W,PAN_PORT,PAN_W,road,65.8,1.2,59.2,4.6
R_RTM_W_RTM_PORT,RTM_W,RTM_PORT,road,28.1,0.51,25.3,1.96
R_RTM_PORT_RTM_W,RTM_PORT,RTM_W,road,28.1,0.51,25.3,1.96
R_DUI_W_DUI_RAIL,DUI_W,DUI_RAIL,road,1.0,0.02,0.9,0.07
R_DUI_RAIL_DUI_W,DUI_RAIL,DUI_W,road,1.0,0.02,0.9,0.07
R_IST_W_IST_PORT,IST_W,IST_PORT,road,10.4,0.19,9.4,0.73
R_IST_PORT_IST_W,IST_PORT,IST_W,road,10.4,0.19,9.4,0.73
R_CAS_W_CAS_AIR,CAS_W,CAS_AIR,road,25.6,0.47,23.0,1.79
R_CAS_AIR_CAS_W,CAS_AIR,CAS_W,road,25.6,0.47,23.0,1.79
R_JNB_W_JNB_AIR,JNB_W,JNB_AIR,road,23.5,0.43,21.1,1.64
R_JNB_AIR_JNB_W,JNB_AIR,JNB_W,road,23.5,0.43,21.1,1.64
R_DXB_W_DXB_AIR,DXB_W,DXB_AIR,road,12.3,0.22,11.0,0.86
R_DXB_AIR_DXB_W,DXB_AIR,DXB_W,road,12.3,0.22,11.0,0.86
R_BOM_W_BOM_AIR,BOM_W,BOM_AIR,road,2.2,0.04,2.0,0.15
R_BOM_AIR_BOM_W,BOM_AIR,BOM_W,road,2.2,0.04,2.0,0.15
R_DEL_W_DEL_AIR,DEL_W,DEL_AIR,road,13.9,0.25,12.5,0.97
R_DEL_AIR_DEL_W,DEL_AIR,DEL_W,road,13.9,0.25,12.5,0.97
R_SIN_W_SIN_AIR,SIN_W,SIN_AIR,road,21.4,0.39,19.3,1.5
R_SIN_AIR_SIN_W,SIN_AIR,SIN_W,road,21.4,0.39,19.3,1.5
R_BKK_W_BKK_AIR,BKK_W,BKK_AIR,road,31.2,0.57,28.0,2.18
R_BKK_AIR_BKK_W,BKK_AIR,BKK_W,road,31.2,0.57,28.0,2.18
R_SHA_W_SHA_PORT,SHA_W,SHA_PORT,road,21.3,0.39,19.2,1.49
R_SHA_PORT_SHA_W,SHA_PORT,SHA_W,road,21.3,0.39,19.2,1.49
R_SZX_W_SZX_AIR,SZX_W,SZX_AIR,road,30.8,0.56,27.8,2.16
R_SZX_AIR_SZX_W,SZX_AIR,SZX_W,road,30.8,0.56,27.8,2.16
R_TYO_W_TYO_AIR,TYO_W,TYO_AIR,road,68.7,1.25,61.9,4.81
R_TYO_AIR_TYO_W,TYO_AIR,TYO_W,road,68.7,1.25,61.9,4.81
R_SYD_W_SYD_AIR,SYD_W,SYD_AIR,road,10.2,0.19,9.2,0.71
R_SYD_AIR_SYD_W,SYD_AIR,SYD_W,road,10.2,0.19,9.2,0.71
R_AKL_W_AKL_AIR,AKL_W,AKL_AIR,road,20.0,0.36,18.0,1.4
R_AKL_AIR_AKL_W,AKL_AIR,AKL_W,road,20.0,0.36,18.0,1.4
R_RTM_PORT_DUI_RAIL,RTM_PORT,DUI_RAIL,road,225.1,4.75,213.8,18.01
R_DUI_RAIL_RTM_PORT,DUI_RAIL,RTM_PORT,road,225.1,4.75,213.8,18.01
R_DUI_RAIL_IST_PORT,DUI_RAIL,IST_PORT,road,2418.4,41.31,2297.5,193.47
R_IST_PORT_DUI_RAIL,IST_PORT,DUI_RAIL,road,2418.4,41.31,2297.5,193.47
R_RTM_PORT_IST_PORT,RTM_PORT,IST_PORT,road,2641.6,45.03,2509.5,211.33
R_IST_PORT_RTM_PORT,IST_PORT,RTM_PORT,road,2641.6,45.03,2509.5,211.33
R_NYC_PORT_CHI_AIR,NYC_PORT,CHI_AIR,road,1374.6,23.91,1305.9,109.97
R_CHI_AIR_NYC_PORT,CHI_AIR,NYC_PORT,road,1374.6,23.91,1305.9,109.97
R_LAX_PORT_CHI_AIR,LAX_PORT,CHI_AIR,road,3305.0,56.08,3139.7,264.4
R_CHI_AIR_LAX_PORT,CHI_AIR,LAX_PORT,road,3305.0,56.08,3139.7,264.4
R_PAN_PORT_NYC_PORT,PAN_PORT,NYC_PORT,road,4166.7,70.44,3958.4,333.34
R_NYC_PORT_PAN_PORT,NYC_PORT,PAN_PORT,road,4166.7,70.44,3958.4,333.34
