arc_id,from_node,to_node,mode,dist_km,time_h,cost_eur_per_t,co2_kg_per_t
S_RTM_PORT_NYC_PORT,RTM_PORT,NYC_PORT,sea,6300.9,181.52,2016.3,94.51
S_NYC_PORT_RTM_PORT,NYC_PORT,RTM_PORT,sea,6300.9,181.52,2016.3,94.51
S_RTM_PORT_PAN_PORT,RTM_PORT,PAN_PORT,sea,9482.9,272.44,3034.5,142.24
S_PAN_PORT_RTM_PORT,PAN_PORT,RTM_PORT,sea,9482.9,272.44,3034.5,142.24
S_RTM_PORT_SHA_PORT,RTM_PORT,SHA_PORT,sea,9644.9,277.07,3086.4,144.67
S_SHA_PORT_RTM_PORT,SHA_PORT,RTM_PORT,sea,9644.9,277.07,3086.4,144.67
S_NYC_PORT_LAX_PORT,NYC_PORT,LAX_PORT,sea,4264.6,123.35,1364.7,63.97
S_LAX_PORT_NYC_PORT,LAX_PORT,NYC_PORT,sea,4264.6,123.35,1364.7,63.97
S_NYC_PORT_PAN_PORT,NYC_PORT,PAN_PORT,sea,3813.6,110.46,1220.3,57.2
S_PAN_PORT_NYC_PORT,PAN_PORT,NYC_PORT,sea,3813.6,110.46,1220.3,57.2
S_LAX_PORT_SHA_PORT,LAX_PORT,SHA_PORT,sea,11276.9,323.7,3608.6,169.15
S_SHA_PORT_LAX_PORT,SHA_PORT,LAX_PORT,sea,11276.9,323.7,3608.6,169.15
S_LAX_PORT_SIN_AIR,LAX_PORT,SIN_AIR,sea,15254.0,437.33,4881.3,228.81
S_SIN_AIR_LAX_PORT,SIN_AIR,LAX_PORT,sea,15254.0,437.33,4881.3,228.81
S_PAN_PORT_SHA_PORT,PAN_PORT,SHA_PORT,sea,16138.2,462.59,5164.2,242.07
S_SHA_PORT_PAN_PORT,SHA_PORT,PAN_PORT,sea,16138.2,462.59,5164.2,242.07
S_SHA_PORT_SIN_AIR,SHA_PORT,SIN_AIR,sea,4118.1,119.16,1317.8,61.77
S_SIN_AIR_SHA_PORT,SIN_AIR,SHA_PORT,sea,4118.1,119.16,1317.8,61.77
S_SHA_PORT_DXB_AIR,SHA_PORT,DXB_AIR,sea,6927.1,199.42,2216.7,103.91
S_DXB_AIR_SHA_PORT,DXB_AIR,SHA_PORT,sea,6927.1,199.42,2216.7,103.91
S_SIN_AIR_DXB_AIR,SIN_AIR,DXB_AIR,sea,6313.1,181.88,2020.2,94.7
S_DXB_AIR_SIN_AIR,DXB_AIR,SIN_AIR,sea,6313.1,181.88,2020.2,94.7
S_SIN_AIR_SYD_AIR,SIN_AIR,SYD_AIR,sea,6798.3,195.74,2175.5,101.97
S_SYD_AIR_SIN_AIR,SYD_AIR,SIN_AIR,sea,6798.3,195.74,2175.5,101.97
S_DXB_AIR_RTM_PORT,DXB_AIR,RTM_PORT,sea,5617.2,161.99,1797.5,84.26
S_RTM_PORT_DXB_AIR,RTM_PORT,DXB_AIR,sea,5617.2,161.99,1797.5,84.26
S_DXB_AIR_BOM_AIR,DXB_AIR,BOM_AIR,sea,2079.9,60.92,665.6,31.2
S_BOM_AIR_DXB_AIR,BOM_AIR,DXB_AIR,sea,2079.9,60.92,665.6,31.2
S_SAO_AIR_RTM_PORT,SAO_AIR,RTM_PORT,sea,10492.2,301.28,3357.5,157.38
S_RTM_PORT_SAO_AIR,RTM_PORT,SAO_AIR,sea,10492.2,301.28,3357.5,157.38
S_JNB_AIR_DXB_AIR,JNB_AIR,DXB_AIR,sea,6925.9,199.38,2216.3,103.89
S_DXB_AIR_JNB_AIR,DXB_AIR,JNB_AIR,sea,6925.9,199.38,2216.3,103.89
