edge_id,origin_id,destination_id,mode,distance_km,time_h,emissions_kgCO2_per_tkm,cost_usd_per_tkm
RAIL_CHICAGO_RAIL_BETUWE_RAIL,CHICAGO_RAIL,BETUWE_RAIL,rail,6620,168.4,0.03031,0.031
RAIL_CHICAGO_RAIL_DUISBURG_RAIL,CHICAGO_RAIL,DUISBURG_RAIL,rail,6780,171.6,0.02945,0.028
RAIL_CHICAGO_RAIL_HALKALI_RAIL,CHICAGO_RAIL,HALKALI_RAIL,rail,8810,212.2,0.02856,0.029
RAIL_CHICAGO_RAIL_CITY_DEEP_RAIL,CHICAGO_RAIL,CITY_DEEP_RAIL,rail,13990,315.8,0.02998,0.031
RAIL_CHICAGO_RAIL_LAT_KRABANG_RAIL,CHICAGO_RAIL,LAT_KRABANG_RAIL,rail,13780,311.6,0.02832,0.027
RAIL_BETUWE_RAIL_CHICAGO_RAIL,BETUWE_RAIL,CHICAGO_RAIL,rail,6620,168.4,0.02746,0.031
RAIL_BETUWE_RAIL_DUISBURG_RAIL,BETUWE_RAIL,DUISBURG_RAIL,rail,160,39.2,0.02997,0.068
RAIL_BETUWE_RAIL_HALKALI_RAIL,BETUWE_RAIL,HALKALI_RAIL,rail,2200,80.0,0.03055,0.03
RAIL_BETUWE_RAIL_CITY_DEEP_RAIL,BETUWE_RAIL,CITY_DEEP_RAIL,rail,8990,215.8,0.02909,0.032
RAIL_BETUWE_RAIL_LAT_KRABANG_RAIL,BETUWE_RAIL,LAT_KRABANG_RAIL,rail,9230,220.6,0.03039,0.031
RAIL_DUISBURG_RAIL_CHICAGO_RAIL,DUISBURG_RAIL,CHICAGO_RAIL,rail,6780,171.6,0.03227,0.029
RAIL_DUISBURG_RAIL_BETUWE_RAIL,DUISBURG_RAIL,BETUWE_RAIL,rail,160,39.2,0.03095,0.068
RAIL_DUISBURG_RAIL_HALKALI_RAIL,DUISBURG_RAIL,HALKALI_RAIL,rail,2040,76.8,0.0322,0.032
RAIL_DUISBURG_RAIL_CITY_DEEP_RAIL,DUISBURG_RAIL,CITY_DEEP_RAIL,rail,8890,213.8,0.03202,0.031
RAIL_DUISBURG_RAIL_LAT_KRABANG_RAIL,DUISBURG_RAIL,LAT_KRABANG_RAIL,rail,9090,217.8,0.03108,0.031
RAIL_HALKALI_RAIL_CHICAGO_RAIL,HALKALI_RAIL,CHICAGO_RAIL,rail,8810,212.2,0.03152,0.031
RAIL_HALKALI_RAIL_BETUWE_RAIL,HALKALI_RAIL,BETUWE_RAIL,rail,2200,80.0,0.03229,0.028
RAIL_HALKALI_RAIL_DUISBURG_RAIL,HALKALI_RAIL,DUISBURG_RAIL,rail,2040,76.8,0.02718,0.032
RAIL_HALKALI_RAIL_CITY_DEEP_RAIL,HALKALI_RAIL,CITY_DEEP_RAIL,rail,7480,185.6,0.02777,0.032
RAIL_HALKALI_RAIL_LAT_KRABANG_RAIL,HALKALI_RAIL,LAT_KRABANG_RAIL,rail,7510,186.2,0.03146,0.029
RAIL_CITY_DEEP_RAIL_CHICAGO_RAIL,CITY_DEEP_RAIL,CHICAGO_RAIL,rail,13990,315.8,0.03191,0.028
RAIL_CITY_DEEP_RAIL_BETUWE_RAIL,CITY_DEEP_RAIL,BETUWE_RAIL,rail,8990,215.8,0.03004,0.032
RAIL_CITY_DEEP_RAIL_DUISBURG_RAIL,CITY_DEEP_RAIL,DUISBURG_RAIL,rail,8890,213.8,0.02872,0.027
RAIL_CITY_DEEP_RAIL_HALKALI_RAIL,CITY_DEEP_RAIL,HALKALI_RAIL,rail,7480,185.6,0.03289,0.031
RAIL_CITY_DEEP_RAIL_LAT_KRABANG_RAIL,CITY_DEEP_RAIL,LAT_KRABANG_RAIL,rail,9020,216.4,0.02856,0.031
RAIL_LAT_KRABANG_RAIL_CHICAGO_RAIL,LAT_KRABANG_RAIL,CHICAGO_RAIL,rail,13780,311.6,0.03024,0.031
RAIL_LAT_KRABANG_RAIL_BETUWE_RAIL,LAT_KRABANG_RAIL,BETUWE_RAIL,rail,9230,220.6,0.02764,0.032
RAIL_LAT_KRABANG_RAIL_DUISBURG_RAIL,LAT_KRABANG_RAIL,DUISBURG_RAIL,rail,9090,217.8,0.03025,0.032
RAIL_LAT_KRABANG_RAIL_HALKALI_RAIL,LAT_KRABANG_RAIL,HALKALI_RAIL,rail,7510,186.2,0.02905,0.033
RAIL_LAT_KRABANG_RAIL_CITY_DEEP_RAIL,LAT_KRABANG_RAIL,CITY_DEEP_RAIL,rail,9020,216.4,0.03259,0.031
