edge_id,origin_id,destination_id,mode,distance_km,time_h,emissions_kgCO2_per_tkm,cost_usd_per_tkm
SEA_PORT_NEWARK_PORT_SANTOS,PORT_NEWARK,PORT_SANTOS,sea,7740,293.1,0.01155,0.009
SEA_PORT_NEWARK_PORT_COLON,PORT_NEWARK,PORT_COLON,sea,3530,172.9,0.01259,0.009
SEA_PORT_NEWARK_PORT_ROTTERDAM,PORT_NEWARK,PORT_ROTTERDAM,sea,5840,238.9,0.01217,0.009
SEA_PORT_NEWARK_PORT_CASABLANCA,PORT_NEWARK,PORT_CASABLANCA,sea,5810,238.0,0.0129,0.011
SEA_PORT_NEWARK_PORT_DURBAN,PORT_NEWARK,PORT_DURBAN,sea,13320,452.6,0.01277,0.01
SEA_PORT_NEWARK_JEBEL_ALI,PORT_NEWARK,JEBEL_ALI,sea,11020,386.9,0.01283,0.009
SEA_PORT_NEWARK_JNPT,PORT_NEWARK,JNPT,sea,12560,430.9,0.01175,0.009
SEA_PORT_NEWARK_PSA_SINGAPORE,PORT_NEWARK,PSA_SINGAPORE,sea,15350,510.6,0.01116,0.011
SEA_PORT_NEWARK_LAEM_CHABANG,PORT_NEWARK,LAEM_CHABANG,sea,14010,472.3,0.01253,0.009
SEA_PORT_NEWARK_PORT_SHANGHAI,PORT_NEWARK,PORT_SHANGHAI,sea,11840,410.3,0.01234,0.01
SEA_PORT_NEWARK_PORT_SHENZHEN,PORT_NEWARK,PORT_SHENZHEN,sea,12930,441.4,0.0121,0.01
SEA_PORT_NEWARK_PORT_BOTANY,PORT_NEWARK,PORT_BOTANY,sea,15980,528.6,0.01163,0.01
SEA_PORT_NEWARK_PORT_AUCKLAND,PORT_NEWARK,PORT_AUCKLAND,sea,14180,477.1,0.01298,0.009
SEA_PORT_SANTOS_PORT_NEWARK,PORT_SANTOS,PORT_NEWARK,sea,7740,293.1,0.01176,0.01
SEA_PORT_SANTOS_PORT_COLON,PORT_SANTOS,PORT_COLON,sea,5200,220.6,0.01307,0.01
SEA_PORT_SANTOS_PORT_ROTTERDAM,PORT_SANTOS,PORT_ROTTERDAM,sea,9760,350.9,0.01221,0.009
SEA_PORT_SANTOS_PORT_CASABLANCA,PORT_SANTOS,PORT_CASABLANCA,sea,7600,289.1,0.01227,0.01
SEA_PORT_SANTOS_PORT_DURBAN,PORT_SANTOS,PORT_DURBAN,sea,7550,287.7,0.01289,0.009
SEA_PORT_SANTOS_JEBEL_ALI,PORT_SANTOS,JEBEL_ALI,sea,12180,420.0,0.01216,0.011
SEA_PORT_SANTOS_JNPT,PORT_SANTOS,JNPT,sea,13750,464.9,0.01301,0.01
SEA_PORT_SANTOS_PSA_SINGAPORE,PORT_SANTOS,PSA_SINGAPORE,sea,15930,527.1,0.01117,0.01
